[1613064371017862] [Filter] Status: Started new logger at ./filter.log
[1613064371018099] [Filter] Down-sampling factor D: 1
[1613064371018122] [Filter] Up-sampling factor U: 1
[1613064371018142] [Filter] Filter length: 2
[1613064371229405] [Filter] Sample: 0.026063 + i * -0.027039
[1613064371229411] [Filter] Sample: 0.025758 + i * -0.027925
[1613064371229420] [Filter] Sample: 0.026612 + i * -0.027650
[1613064371229426] [Filter] Sample: 0.028230 + i * -0.020447
[1613064371229433] [Filter] Sample: 0.028321 + i * -0.023377
[1613064371229452] [Filter] Sample: 0.025697 + i * -0.027497
[1613064371229458] [Filter] Sample: 0.028382 + i * -0.018159
[1613064371229464] [Filter] Sample: 0.029237 + i * -0.022645
[1613064371229470] [Filter] Sample: 0.028840 + i * -0.022157
[1613064371229479] [Filter] Sample: 0.029634 + i * -0.023194
[1613064371229485] [Filter] Sample: 0.028810 + i * -0.020112
[1613064371229492] [Filter] Sample: 0.030244 + i * -0.021943
[1613064371229499] [Filter] Sample: 0.028047 + i * -0.022706
[1613064371229507] [Filter] Sample: 0.030488 + i * -0.019562
[1613064371229514] [Filter] Sample: 0.031373 + i * -0.010407
[1613064371229520] [Filter] Sample: 0.030732 + i * -0.016083
[1613064371229527] [Filter] Sample: 0.030671 + i * -0.022309
[1613064371229536] [Filter] Sample: 0.031282 + i * -0.022095
[1613064371229542] [Filter] Sample: 0.032563 + i * -0.020264
[1613064371229548] [Filter] Sample: 0.032350 + i * -0.017548
[1613064371229558] [Filter] Sample: 0.032838 + i * -0.016938
[1613064371229563] [Filter] Sample: 0.032533 + i * -0.016541
[1613064371229569] [Filter] Sample: 0.032380 + i * -0.012818
[1613064371229576] [Filter] Sample: 0.033784 + i * -0.017853
[1613064371229584] [Filter] Sample: 0.033418 + i * -0.010254
[1613064371229590] [Filter] Sample: 0.033326 + i * -0.010437
[1613064371229596] [Filter] Sample: 0.034272 + i * -0.014649
[1613064371229603] [Filter] Sample: 0.034730 + i * -0.015076
[1613064371229611] [Filter] Sample: 0.034761 + i * -0.015564
[1613064371229618] [Filter] Sample: 0.033998 + i * -0.008271
[1613064371229624] [Filter] Sample: 0.034425 + i * -0.008850
[1613064371229632] [Filter] Sample: 0.035646 + i * -0.013947
[1613064371229639] [Filter] Sample: 0.035829 + i * -0.012818
[1613064371229645] [Filter] Sample: 0.035524 + i * -0.010163
[1613064371229655] [Filter] Sample: 0.035127 + i * -0.007904
[1613064371229664] [Filter] Sample: 0.035920 + i * -0.009644
[1613064371229670] [Filter] Sample: 0.035463 + i * -0.008911
[1613064371229677] [Filter] Sample: 0.034547 + i * -0.006043
[1613064371229683] [Filter] Sample: 0.035615 + i * -0.005280
[1613064371229692] [Filter] Sample: 0.037202 + i * -0.011139
[1613064371229698] [Filter] Sample: 0.036409 + i * -0.006348
[1613064371229705] [Filter] Sample: 0.036073 + i * -0.004669
[1613064371229711] [Filter] Sample: 0.035798 + i * -0.003327
[1613064371229720] [Filter] Sample: 0.034974 + i * -0.000366
[1613064371229726] [Filter] Sample: 0.037477 + i * -0.005982
[1613064371229732] [Filter] Sample: 0.036165 + i * -0.002441
[1613064371229741] [Filter] Sample: 0.036622 + i * -0.002899
[1613064371229747] [Filter] Sample: 0.034578 + i * -0.000549
[1613064371229763] [Filter] Sample: 0.038087 + i * -0.004547
[1613064371229769] [Filter] Sample: 0.033906 + i * 0.003876
[1613064371229778] [Filter] Sample: 0.035005 + i * 0.002991
[1613064371229784] [Filter] Sample: 0.037446 + i * -0.001343
[1613064371229801] [Filter] Sample: 0.036409 + i * 0.001038
[1613064371229806] [Filter] Sample: 0.039247 + i * -0.003113
[1613064371229814] [Filter] Sample: 0.035554 + i * 0.003510
[1613064371229821] [Filter] Sample: 0.038118 + i * -0.000305
[1613064371229827] [Filter] Sample: 0.036866 + i * 0.002716
[1613064371229835] [Filter] Sample: 0.035890 + i * 0.004517
[1613064371229841] [Filter] Sample: 0.036317 + i * 0.002411
[1613064371229848] [Filter] Sample: 0.038667 + i * 0.001526
[1613064371229854] [Filter] Sample: 0.039552 + i * 0.000916
[1613064371229862] [Filter] Sample: 0.034944 + i * 0.007141
[1613064371229867] [Filter] Sample: 0.034303 + i * 0.008545
[1613064371229873] [Filter] Sample: 0.035798 + i * 0.007141
[1613064371229880] [Filter] Sample: 0.030030 + i * 0.014557
[1613064371229888] [Filter] Sample: 0.034761 + i * 0.009156
[1613064371229895] [Filter] Sample: 0.037477 + i * 0.006745
[1613064371229901] [Filter] Sample: 0.035066 + i * 0.009400
[1613064371229908] [Filter] Sample: 0.037233 + i * 0.008026
[1613064371229915] [Filter] Sample: 0.030824 + i * 0.013184
[1613064371229921] [Filter] Sample: 0.033845 + i * 0.011261
[1613064371229928] [Filter] Sample: 0.036622 + i * 0.009217
[1613064371229938] [Filter] Sample: 0.030427 + i * 0.013855
[1613064371229945] [Filter] Sample: 0.031282 + i * 0.015748
[1613064371229951] [Filter] Sample: 0.035157 + i * 0.010529
[1613064371229957] [Filter] Sample: 0.035829 + i * 0.011383
[1613064371229965] [Filter] Sample: 0.032533 + i * 0.013825
[1613064371229971] [Filter] Sample: 0.034547 + i * 0.013276
[1613064371229976] [Filter] Sample: 0.029450 + i * 0.018189
[1613064371229983] [Filter] Sample: 0.033967 + i * 0.014496
[1613064371229991] [Filter] Sample: 0.033479 + i * 0.015473
