[1611947284479592] [Process 0] Status: Started new logger at ./process0.log
[1611947284984768] [Process 0] Thread: 0	Block #: 83	Average power: 0.000016
[1611947284988416] [Process 0] Thread: 0	Block #: 84	Average power: 0.000015
[1611947284992056] [Process 0] Thread: 0	Block #: 85	Average power: 0.000015
[1611947284995670] [Process 0] Thread: 0	Block #: 86	Average power: 0.000014
[1611947284999319] [Process 0] Thread: 0	Block #: 87	Average power: 0.000013
[1611947285002928] [Process 0] Thread: 0	Block #: 88	Average power: 0.000013
[1611947285006546] [Process 0] Thread: 0	Block #: 89	Average power: 0.000013
[1611947285010233] [Process 0] Thread: 0	Block #: 90	Average power: 0.000013
[1611947285013818] [Process 0] Thread: 0	Block #: 91	Average power: 0.000014
[1611947285017448] [Process 0] Thread: 0	Block #: 92	Average power: 0.000015
[1611947285021091] [Process 0] Thread: 0	Block #: 93	Average power: 0.000014
[1611947285024710] [Process 0] Thread: 0	Block #: 94	Average power: 0.000015
[1611947285028364] [Process 0] Thread: 0	Block #: 95	Average power: 0.000015
[1611947285031968] [Process 0] Thread: 0	Block #: 96	Average power: 0.000016
[1611947285035598] [Process 0] Thread: 0	Block #: 97	Average power: 0.000019
[1611947285039254] [Process 0] Thread: 0	Block #: 98	Average power: 0.000017
[1611947285042907] [Process 0] Thread: 0	Block #: 99	Average power: 0.000016
[1611947285046489] [Process 0] Thread: 0	Block #: 100	Average power: 0.000017
[1611947285050129] [Process 0] Thread: 0	Block #: 101	Average power: 0.000015
[1611947285053748] [Process 0] Thread: 0	Block #: 102	Average power: 0.000016
[1611947285057382] [Process 0] Thread: 0	Block #: 103	Average power: 0.000015
[1611947285061007] [Process 0] Thread: 0	Block #: 104	Average power: 0.000013
[1611947285064639] [Process 0] Thread: 0	Block #: 105	Average power: 0.000012
[1611947285068278] [Process 0] Thread: 0	Block #: 106	Average power: 0.000012
[1611947285071898] [Process 0] Thread: 0	Block #: 107	Average power: 0.000014
[1611947285075527] [Process 0] Thread: 0	Block #: 108	Average power: 0.000014
[1611947285079157] [Process 0] Thread: 0	Block #: 109	Average power: 0.000015
[1611947285082793] [Process 0] Thread: 0	Block #: 110	Average power: 0.000015
[1611947285086417] [Process 0] Thread: 0	Block #: 111	Average power: 0.000018
[1611947285090052] [Process 0] Thread: 0	Block #: 112	Average power: 0.000016
[1611947285093680] [Process 0] Thread: 0	Block #: 113	Average power: 0.000015
[1611947285097307] [Process 0] Thread: 0	Block #: 114	Average power: 0.000016
[1611947285100951] [Process 0] Thread: 0	Block #: 115	Average power: 0.000018
[1611947285104570] [Process 0] Thread: 0	Block #: 116	Average power: 0.000018
[1611947285108245] [Process 0] Thread: 0	Block #: 117	Average power: 0.000016
[1611947285111817] [Process 0] Thread: 0	Block #: 118	Average power: 0.000015
[1611947285115458] [Process 0] Thread: 0	Block #: 119	Average power: 0.000015
[1611947285119088] [Process 0] Thread: 0	Block #: 120	Average power: 0.000014
[1611947285122708] [Process 0] Thread: 0	Block #: 121	Average power: 0.000015
[1611947285126352] [Process 0] Thread: 0	Block #: 122	Average power: 0.000014
[1611947285129981] [Process 0] Thread: 0	Block #: 123	Average power: 0.000013
[1611947285133608] [Process 0] Thread: 0	Block #: 124	Average power: 0.000020
[1611947285137237] [Process 0] Thread: 0	Block #: 125	Average power: 0.000015
[1611947285140871] [Process 0] Thread: 0	Block #: 126	Average power: 0.000014
[1611947285144503] [Process 0] Thread: 0	Block #: 127	Average power: 0.000014
[1611947285148172] [Process 0] Thread: 0	Block #: 128	Average power: 0.000015
[1611947285151758] [Process 0] Thread: 0	Block #: 129	Average power: 0.000013
[1611947285155378] [Process 0] Thread: 0	Block #: 130	Average power: 0.000016
[1611947285159018] [Process 0] Thread: 0	Block #: 131	Average power: 0.000016
[1611947285159574] [Process 0] Processing thread is done and closing
[1611947285159589] [Process 0] Status: Closing the logger
